subject,body,label
anúncio de emprego - centro de pesquisa apple-iss,"é necessário ter conhecimento de modelos de linguagem de gramática de corpus de última geração, modelos de linguagem de cache e modelos de linguagem de parte da fala.  É necessário conhecimento substancial da fonologia, sintaxe e semântica do chinês. É desejável conhecimento de fonética acústica e/ou processamento de sinal de fala. ambos os candidatos devem ter doutorado com pelo menos 2 a 4 anos de experiência profissional relevante ou um mestrado técnico com pelo menos 5 a 7 anos de experiência. habilidades muito sólidas em engenharia de software, incluindo projeto e implementação e produção, são necessárias para esses cargos.  Programadores com menos de dois anos de experiência no setor não devem se candidatar. Esses cargos incluem interação com cientistas da Universidade Nacional de Cingapura e com os esforços de pesquisa e produção de discursos da Apple, localizados em Cupertino, Califórnia. Incentiva-se a participação e a publicação em conferências internacionais de ciência/engenharia. Os benefícios incluem salário competitivo internacionalmente, subsídio para moradia e despesas de mudança. Envie um currículo completo, incluindo dados pessoais, qualificações, experiência e número de telefone para contato: mr jean - luc lebrun center manager apple - iss research center , institute of systems science heng mui keng terrace , singapore 0511 tel: ( 65 ) 772-6571 fax: ( 65 ) 776-4005 email: jllebrun @ iss . nus . sg",0
,"lang classification grimes , joseph e . and barbara f . grimes ; ethnologue language family index ; pb . isbn : 0-88312 - 708 - 3 ; vi , 116 pp . ; $ 14 . 00 . summer institute of linguistics . este volume que acompanha o ethnologue : languages of the world , décima segunda edição, lista as famílias linguísticas do mundo com subgrupos mostrados em um arranjo de árvore sob a classificação mais ampla de família linguística . o índice de famílias linguísticas facilita a localização de nomes de línguas no ethnologue, tornando os dados mais acessíveis. internet : academic . books @ sil . org languages , reference lang & culture gregerson , marilyn ; ritual , belief , and kinship in sulawesi ; pb . : isbn : 0-88312 - 621 - 4 ; ix , 194 pp . ; $ 25 . 00 . summer institute of linguistics . sete artigos discutem cinco grupos linguísticos em sulawesi, indonésia; o foco principal é em questões culturais, com algum conteúdo linguístico. os tópicos incluem religião e crenças tradicionais, certas cerimônias e parentesco. internet : academic . books @ sil . org language and society , indonesia computers & ling weber , david j . , stephen r . mcconnel , diana d . weber , and beth j . bryson ; primer : a tool for developing early reading materials ; pb . : isbn : 0-88313 - 678 - 8 ; xvi , 266 pp . + software ms-dos ; $ 26 . 00 . summer institute of linguistics . os autores apresentam um programa de computador e instruções para o desenvolvimento de materiais de leitura em idiomas com pouca ou nenhuma experiência em alfabetização . o livro é estruturado como um manual de instruções com procedimentos passo a passo para estabelecer uma sequência apropriada de cartilhas e organizar palavras, frases e sentenças que se correlacionam com a sequência . pressupõe um conhecimento profundo de linguística . internet : academic . books @ sil . org alfabetização , computador",0
consulta: frequências de letras para identificação de textos,"estou postando esta pergunta para sergei atamas ( satamas @ umabnet . ab . umd . edu ), um pesquisador associado da universidade de maryland em baltimore. seu campo é a biologia molecular e seu trabalho envolve a comparação de cadeias de DNA usando vários algoritmos. não entendo os detalhes o suficiente para passá-los adiante. De qualquer forma, um desses algoritmos se baseia nas frequências com que as letras g, a, t e c ocorrem nas cadeias de DNA. Ele gostaria de explorar o uso análogo de frequências de letras (sons) em textos de linguagem natural. Quaisquer sugestões podem ser enviadas diretamente para ele no endereço acima ou para mim, e eu as repassarei. Ele também estaria interessado em um trabalho colaborativo, caso esta pesquisa se conecte com o trabalho de quaisquer linguistas ou especialistas em processamento de texto. Ele observa que, muitas vezes, o trabalho em um campo poderia realmente ajudar o trabalho em um campo distante, se as pessoas soubessem o que está acontecendo lá. george fowler george fowler gfowler @ indiana . edu [ email ] dept. of slavic languages * * 1-317 - 726-1482 [ home ] * * [ try here first ! ] ballantine 502 1-812 - 855-2624 / - 2608 / - 9906 [ dept . ] indiana university 1-812 - 855-2829 [ office ] bloomington , in 47405 usa 1-812 - 855-2107 [ dept . fax ]",0
risco,Um colega e eu estamos pesquisando os diferentes graus de risco percebidos por nossos alunos de hong Kong em diferentes contextos em que o inglês falado é necessário. Gostaríamos de saber mais sobre pesquisas na área de assumir riscos no aprendizado de idiomas.,0
solicitar informações sobre livros,"Hoje de manhã, eu estava ao telefone com um amigo que mora na América do Sul. Enquanto conversávamos em espanhol, ele disse: ""si voy a la liberi' a, comprare' el libro"", que pode ser traduzido para o inglês como ""se eu for à livraria, comprarei o livro"". Achei essa expressão um pouco incomum, então perguntei a ele, dizendo que, na verdade, ele queria dizer ""si fuese a la libreri ' a , comprari ' a el libro"" ou ""se eu fosse à livraria, eu o compraria"", ao que ele me respondeu: ""ah, o subjuntivo está morto em espanhol! ""No entanto, durante a nossa conversa, ele mencionou que há um livro (uma tradução espanhola de um original francês) intitulado algo como ""la muerte del subjuntivo"" ou ""the demise / death of the subjunctive"". Alguém conhece esse livro? ou livros que possam tratar de conteúdo semelhante? toda e qualquer ajuda será apreciada. joseph m kozono < kozonoj @ gunet . georgetown . edu >",0
chamada para resumos : otimalidade na teoria sintática,"content - length : 4437 call for papers is the best good enough ? workshop on optimality in syntactic theory to be held at the massachusetts institute of technology , cambridge , ma , may 19-21 1995 . syntactic research in a variety of frameworks is assigning a growing role to the notion of comparison . this work , which is at the forefront of current research , includes theories involving principles of economy and optimality . Grande parte desse trabalho ainda não foi publicada ou está em fase de formação (legendre, raymond e smolensky (1993), grimshaw (1993), pesetsky (1994), chomsky (1989, 1993, 1994)). os dados relevantes variam de um relato para outro, mas as comparações empíricas dessas propostas agora podem e devem ser realizadas. ) de 19 a 21 de maio de 1995, o mit realizará um workshop para explorar e esclarecer questões específicas de teorias sintáticas nas quais a comparação desempenha um papel significativo. o workshop consistirá de palestras convidadas e palestras selecionadas a partir de resumos submetidos anonimamente. os resumos devem abordar as seguintes questões: * Qual é a natureza do conjunto candidato ou de referência para comparação? Quais objetos linguísticos competem pela melhor escolha? * Que critérios determinam o resultado ideal de um conjunto de candidatos? * A gramática compara derivações (como nos princípios econômicos de Chomsky (1989, 1993)) ou representações (como nas análises teóricas de otimização desenvolvidas para a fonologia por Prince e Smolensky (1993))? * A aquisição ou variação da linguagem é explicada pela parametrização ou pela classificação de restrições? * Quais são as implicações e os requisitos computacionais das diferentes abordagens? As palestras convidadas serão apresentadas por: joan bresnan, stanford noam chomsky, mit jane grimshaw, rutgers david pesetsky, mit paul smolensky e geraldine legendre, johns hopkins university edward stabler, ucla As submissões para consideração devem ser recebidas até 15 de março de 1994, por correio ou fax. Os autores cujos resumos forem aceitos deverão fornecer um trabalho mais completo até meados de abril para preparar uma discussão focada. Talvez possamos ajudar com os custos de viagem de apresentadores estudantes ou desempregados. Oito ou nove intervalos de tempo de 30 minutos estão reservados para os trabalhos aceitos, cada um com 10 minutos adicionais para perguntas e discussão. Os resumos devem ser anônimos e não devem ter mais de duas páginas. Endereço para correspondência: good enough mit 20d-219 77 massachusetts avenue , cambridge , ma , 02139 As correspondências devem incluir seis cópias de um resumo anônimo com uma folha de rosto indicando o título do trabalho, nome do autor, afiliação, endereço, número de telefone e endereço de e-mail. As transmissões por fax podem ser feitas para ( 617 ) 253-5017, atenção: david pesetsky, e também devem incluir a folha de rosto. quaisquer outras perguntas podem ser enviadas por e-mail para good-enough @ mit . edu. informações mais detalhadas sobre a conferência também serão disponibilizadas via ftp anônimo para broca . mit . edu, no diretório pub / good-enough. referências citadas acima: chomsky , n . ( 1989 ), "" some notes on economy of derivation and representation . "" in laka , i . and a . mahajan ( ed . ) _ mit working papers in linguistics 10 , cambridge : mit working papers in linguistics . chomsky , n . ( 1993 ) , "" a minimalist program for linguistic theory , "" in hale , k . and j . keyser ( ed . ) _ a view from building 20 _ , cambridge : mit press . chomsky , n . ( 1994 ) , "" bare phrase structure , "" occasional paper # 5 , cambridge : mit working papers in linguistics . grimshaw , j . (1993), ""minimal projection, heads, and optimality"", ms. rutgers university [disponível por ftp anônimo de ruccs. rutgers. edu, como pub / ot / papers / minproj. ps]. , a ser publicado na linguistic inquiry . legendre , g . , w . raymond , and p . smolensky ( 1993 ) "" an optimality - theoretic typology of case and grammatical voice systems , "" _ proceedings of the nineteenth annual meeting of the berkeley linguistic society _ , berkeley , ca , 464-478 . pesetsky , d . ( em prep . ), _ syntax at the edge : optimality effects in sentence grammar _ [ handouts only available by anonymous ftp from ruccs . rutgers . edu , as pub / ot / papers / sentpron . ps ] . prince , a . and p . smolensky ( 1993 ), _ optimality theory : constraint interaction in generative grammar _ , ruccs technical report # 2 , rutgers university center for cognitive science , piscataway , new jersey [ to appear , mit press ] .",0
m . a . em lingüística escandinava,"m . a . em lingüística escandinava na universidade de tromsoe 1995-1996 (versão corrigida) a seção de lingüística do instituto de língua e literatura da universidade de tromsoe, noruega, oferece um curso de um ano que leva ao grau de mestre em artes, com início no outono de 1995. o curso foi criado para preparar os alunos para a pesquisa em sintaxe e fonologia gerativa, com atenção especial aos idiomas escandinavos. o curso está aberto a alunos de todos os países com formação em lingüística correspondente aproximadamente a um b . a. com especialização em linguística ou um cand . mag norueguês. o curso equivale a 60 créditos e . c . t . s . as aulas serão ministradas em inglês. não é necessário ter proficiência em um idioma escandinavo nem conhecimento prévio da gramática escandinava. aqueles que desejarem poderão fazer um curso de norueguês para estrangeiros durante todo o ano. os alunos não pagam mensalidades, apenas uma taxa nominal de inscrição. um número limitado de bolsas está disponível para alunos do leste europeu ou de países em desenvolvimento. o curso consistirá em palestras, seminários e tutoriais, com exames no final de cada período (outono e primavera). além disso, os alunos deverão escrever dois trabalhos de pesquisa. no outono de 1995, haverá uma série de palestras sobre sintaxe escandinava e outra sobre fonologia escandinava. além disso, haverá seminários, tutoriais e um curso intensivo de gramática islandesa. na primavera de 1996, haverá uma série de palestras sobre linguística escandinava histórica, além de seminários e tutoriais. Os professores são anders holmberg e tarald taraldsen (sintaxe), ove lorenz e curtis rice (fonologia). outros professores que contribuirão em vários momentos do curso incluem christer platzack, cecilia falk (universidade de lund), halldor a . sigurdsson (universidade da islândia), tomas riad (universidade de estocolmo). para obter mais informações, entre em contato com anders holmberg isl, linguistics university of tromsoe n-9037 tromsoe, norway telefone: 47-77645616, fax: 47-77645625 e-mail: andersh @ isl. uit. no",0
chamada para trabalhos: sessão de linguística do m / mla,"chamada para trabalhos linguistics session - - midwest modern language association , st. louis , missouri , 2 a 4 de novembro de 1995 topic : dialogue in fiction - - aplicações de teorias/abordagens das ciências lingüísticas e cognitivas ao diálogo na ficção. os trabalhos podem explicar como funciona o diálogo na ficção (com ou sem comparação com a conversação real); revisar as teorias existentes sobre o uso da linguagem e talvez oferecer novas teorias, com base na análise do diálogo na ficção; ou interpretar textos por meio do diálogo. envie resumos ou trabalhos para: deborah f. rossen - knill , institute for research in cognitive science , 3401 walnut street , suite 4c , philadelphia , pa 19104-6228 . prazo final: 27 de março de 1995 perguntas? entre em contato com deborah f. rossen - knill : drossen @ linc . cis . upenn . edu .",0
língua estrangeira em comerciais,"conteúdo - extensão: 1937 saudações! gostaria de saber se alguém aí pode identificar os idiomas usados em dois comerciais recentes da ibm. eles lançaram uma série de três anúncios com pessoas em diferentes países falando sobre equipamentos e serviços da ibm. um anúncio tem dois senhores de idade caminhando ao longo do que parece ser o Sena, falando francês. Um segundo anúncio mostra dois homens sentados no que parece ser um mercado do oriente médio, e um terceiro anúncio mostra freiras conversando sobre equipamentos da ibm a caminho da missa. presumo que os homens estejam falando árabe (mas ficaria grato se isso fosse confirmado), mas não tenho ideia do que as freiras estão falando. Alguém sabe? também gostaria de aproveitar esta oportunidade para agradecer a todos que responderam às minhas perguntas no início do ano passado sobre algumas expressões em francês, italiano e sueco em alguns anúncios impressos. eu pretendia enviar agradecimentos individuais, mas perdi o arquivo com as respostas! Por favor, perdoe-me e aceite este agradecimento geral. Se algum de vocês que respondeu quiser saber mais sobre o que fizemos com sua contribuição, terei o prazer de enviar mais informações (até mesmo o artigo que escrevemos, se desejar). muito obrigada, mary ellen renryder @ idbsu . idbsu . edu",0
anúncio fulbright : favor postar / divulgar em listas,"anúncio fulbright: favor postar/divulgar em listas assunto concurso do programa fulbright scholar para 1996-97: cadeiras fulbright na europa ocidental e canadá ação: inscrições até 1º de maio de 1995 informações: dr. karen adams ou ms. margo cunniffe council for international exchange of scholars 3007 tilden street, n. w.  atribuição: o bolsista lecionará tanto em nível de graduação quanto de pós-graduação e deverá oferecer uma aula avançada de linguística teórica contemporânea (teoria da sintaxe e sintaxe da forma lógica) ou filosofia contemporânea da linguagem (teoria do significado, semântica da linguagem natural, teoria da predicação, linguagem e ontologia). aulas em inglês. 2 . itália: naples chair department of modern philology, university of naples. três meses, entre 3/1/97 e 5/31/97. especialidade: literatura americana, estudos culturais americanos, linguagem americana ou lingüística geral. atribuição: dar aulas em inglês. palestras ocasionais como convidado em outras instituições culturais em naples e em outros lugares da itália.",0
